Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\openHAB.Common\openHAB.Common.csproj,File,src\openHAB.Common\openHAB.Common.csproj,,,,,,,,Current target framework: net9.0-windows10.0.26100.0 Recommended target framework: net10.0-windows10.0.26100.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\openHAB.Core.Client\openHAB.Core.Client.csproj,File,src\openHAB.Core.Client\openHAB.Core.Client.csproj,,,,,,,,Current target framework: net9.0-windows10.0.26100.0 Recommended target framework: net10.0-windows10.0.26100.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\openHAB.Core.Client\openHAB.Core.Client.csproj,File,src\openHAB.Core.Client\Extensions\OpenHabHttpClientExtension.cs,60,8,T:System.Uri,,,,,client.BaseAddress = new Uri(connection.Url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\openHAB.Core.Client\openHAB.Core.Client.csproj,File,src\openHAB.Core.Client\Extensions\OpenHabHttpClientExtension.cs,60,8,M:System.Uri.#ctor(System.String),,,,,client.BaseAddress = new Uri(connection.Url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\openHAB.Core.Client\openHAB.Core.Client.csproj,File,src\openHAB.Core.Client\Extensions\OpenHabHttpClientExtension.cs,60,8,T:System.Uri,,,,,client.BaseAddress = new Uri(connection.Url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\openHAB.Core.Client\openHAB.Core.Client.csproj,File,src\openHAB.Core.Client\Models\Link.cs,21,13,T:System.Uri,,,,,set;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\openHAB.Core.Client\openHAB.Core.Client.csproj,File,src\openHAB.Core.Client\Models\Link.cs,21,8,T:System.Uri,,,,,get;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\openHAB.Core.Client\openHAB.Core.Client.csproj,File,src\openHAB.Core.Client\Models\Link.cs,18,4,T:System.Uri,,,,,public Uri Url
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\openHAB.Core.Client\openHAB.Core.Client.csproj,File,src\openHAB.Core.Client\Models\Item.cs,216,8,"M:System.TimeSpan.FromMilliseconds(System.Int64,System.Int64)",,,,,"string newstate = Regex.Replace(_state, ""[^0-9,.]"", string.Empty, RegexOptions.None, TimeSpan.FromMilliseconds(100));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\openHAB.Core.Client\openHAB.Core.Client.csproj,File,src\openHAB.Core.Client\Connection\Models\ConnectionProfile.cs,18,13,T:System.Uri,,,,,set;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\openHAB.Core.Client\openHAB.Core.Client.csproj,File,src\openHAB.Core.Client\Connection\Models\ConnectionProfile.cs,18,8,T:System.Uri,,,,,get;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\openHAB.Core.Client\openHAB.Core.Client.csproj,File,src\openHAB.Core.Client\Connection\Models\ConnectionProfile.cs,16,4,T:System.Uri,,,,,public Uri Url
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\openHAB.Core.Client\openHAB.Core.Client.csproj,File,src\openHAB.Core.Client\Connection\ConnectionService.cs,148,12,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"string runtimeversion = Regex.Replace(apiInfo?.RuntimeInfo.Version, ""[^.0-9]"", string.Empty, RegexOptions.CultureInvariant, TimeSpan.FromSeconds(1));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\openHAB.Core.Client\openHAB.Core.Client.csproj,File,src\openHAB.Core.Client\Connection\ConnectionService.cs,140,12,T:System.Net.Http.HttpContent,,,,,string responseBody = await result.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\openHAB.Core.Client\openHAB.Core.Client.csproj,File,src\openHAB.Core.Client\AutoNumberToStringConverter.cs,27,8,T:System.Text.Json.JsonDocument,,,,,using (JsonDocument document = JsonDocument.ParseValue(ref reader))          {              return document.RootElement.Clone().ToString();          }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\openHAB.Core.Client\openHAB.Core.Client.csproj,File,src\openHAB.Core.Client\AutoNumberToStringConverter.cs,27,8,T:System.Text.Json.JsonDocument,,,,,using (JsonDocument document = JsonDocument.ParseValue(ref reader))          {              return document.RootElement.Clone().ToString();          }
